nomem_encr,Q30,Q30_E,Code1,Code2,Code3
802398,Wordt mij te ingewikkeld,It's getting too complicated for me,3.2,,
802551,,,,,
802578,,,,,
802585,,,,,
802679,prive,private,1.1,,
802783,"Mijn leeftijd,beweeg minder","My age, move less",4.1,,
802859,Geen interesse,Not interested,7.1,,
802879,Nvt,N/A,8.1,,
802911,,,,,
802943,,,,,
802947,,,,,
802981,....,....,8.2,,
803033,"Iedere dag geheel vrijblijvend ongeacht het weer trek ik er op uit. Fietsend & wandelend. Beweeg ruim voldoende, soms fietsend van stad naar stad om kunst te kijken, of mooi natuurgebied in. Denk dat dit vastleggen voor mensen zijn die amper bewegen.","Every day, regardless of the weather, I go out, cycling and walking. I get plenty of exercise, sometimes cycling from city to city to admire art or explore beautiful nature reserves. I think this kind of photography is for people who barely move.",4.4,,
803063,mijn ziekte,my illness,5.2,,
803201,-,-,8.2,,
803245,ik kijk hier een beetje tegen op.,I'm a little apprehensive about this.,7.2,,
803268,,,,,
803280,Ik heb alle verzameling van gegevens bij Google uitgeschakeld voor zover dat mogelijk was,I have disabled all data collection by Google to the extent possible,4.1,,
803356,niet interessant voor mij,not interesting to me,7.1,,
803445,,,,,
803515,,,,,
803540,App heb ik niet.,I don't have an app.,3.4,,
803567,prive,private,1.1,,
803584,Mijn smartphone neem ik zeer weinig mee buitenshuis. Er worden dus weinig gegevens verzameld. Bovendien zijn er zoveel mogelijk privÃ© gegevens geblokkeerd in google.,"I rarely take my smartphone outside the home, so very little data is collected. Moreover, as much private data as possible is blocked in Google.",4.1,,
803619,,,,,
803674,Omdat ik 2x per week revalideer bij de fysiotherapeut.,Because I go to the physiotherapist for rehabilitation twice a week.,5.2,,
803695,,,,,
803732,,,,,
803747,Ik heb er geen zin in.,I don't feel like it.,7.1,,
803794,,,,,
803799,Instellingen kan ik niet vinden.,I can't find settings.,3.4,,
803802,geen zin in.,no interest in it.,7.1,,
803805,,,,,
803906,"Op het moment heb ik erg druk want mijn moeder is opgenomen in eerst ziekenhuis en nu revalidatie, geen tijd","At the moment I am very busy because my mother is admitted to hospital first and now rehabilitation, no time",5.3,3.3,
804002,Ik heb geen zin in dit onderzoek,I don't feel like doing this research,7.1,4.2,
804005,Ik gebruik het te weinig,I don't use it enough,4.1,,
804031,Ik heb nu een blessure en kan weinig! Anders had ik wel meegedaan!,"I have an injury now and can't do much! Otherwise, I would have participated!",4.1,5.2,4.4
804042,Geen zin,No point,7.1,,
804067,"Ik wil de gegevens wel delen, heb ook fitbit op mijn telefoon staan, maar een pakketje opvragen bij Apple lijkt me erg veel gedoe â€¦","I would like to share the data, I also have a Fitbit on my phone, but requesting a package from Apple seems like a lot of hassle...",3.3,,
804074,nvt,n/a,8.1,,
804120,,,,,
804156,niet veel verstand,not much understanding,6.2,,
804196,,,,,
804251,Ik besteed er niet graag veel tijd aan.,I don't like to spend a lot of time on it.,3.3,,
804298,,,,,
804326,geen zin om hiermee bezig te gaan/zijn,no desire to deal with this,7.1,,
804354,,,,,
804360,"Geen zin dit te doen, naast allerlei andere soms vervelende zaken,zoals medische beslommeringen.","Don't feel like doing this, on top of all sorts of other sometimes annoying things, such as medical concerns.",7.1,3.3,5.2
804489,prive,private,1.1,,
804495,vindt het net te persoonlijk.,finds it just too personal.,1.1,,
804565,"Ik heb geen moeite de gegevens met jullie te delen, maar wel met anderen (zoals bijvoorbeeld Samsung). De locatie op de smartphone is helemaal uitgeschakeld en dat blijft zo, zodat hopelijk Samsung het niet kan zien.","I'm happy to share the data with you, but I am willing to share it with others (like Samsung, for example). The location on the smartphone is completely disabled and will remain so, so hopefully, Samsung can't see it.",6.4,4.1,
804607,vindt het te ingewikkeld,finds it too complicated,3.3,,
804640,,,,,
804806,Momenteel even niet in staat om dit te doen. Mijn echtgenoot is net overleden.,I'm currently unable to do this. My husband just passed away.,5.3,,
805007,,,,,
805059,te complex!!!!!,too complex!!!!!,3.2,,
805099,,,,,
805181,,,,,
805252,geen zin om mijn gegevens te delen met Google,I don't want to share my data with Google,6.4,,
805273,,,,,
805303,Ik ben door mijn knie gegaan dus stappen tellen heeft nu weinig zin,I've gone through my knee so counting steps is of little use now,4.1,,
805319,,,,,
805484,,,,,
805520,,,,,
805536,Ik zie het nut voor mijzelf hier niet van in.,I don't see the use of this for myself.,6.3,,
805543,geen interesse en bovendien geen tijd en zin om hier aan mee te doen.,no interest and also no time or inclination to participate in this.,7.1,3.3,
805572,te prive,too private,1.1,,
805603,,,,,
805643,,,,,
805657,,,,,
805670,Ik heb er gewoon geen zin in. Ik heb genoeg gedaan al.,I just don't feel like it. I've done enough already.,7.1,3.3,
805687,Omdat ik twijfel,Because I doubt,7.2,,
805749,privacy,privacy,1.1,,
805848,Je moet dan iets met je smartphone gaan doen waar ik niet voor ben. Het wordt dan te onzeker voor mij.,Then you have to do something with your smartphone that I'm not interested in. It becomes too uncertain for me.,7.2,3.1,
805971,ik heb geen google account dat ik gebruik.,I don't have a google account that I use.,3.4,,
805998,Mijn gezondheid laat maar weinig gezondheid toe en ik wil niet te vaak daarmee geconfronteerd worden,My health doesn't allow for much health and I don't want to be confronted with that too often,5.2,4.4,
806008,geen belangstelling,no interest,7.1,,
806079,Teveel gedoe,Too much hassle,3.3,,
806200,Nvt,N/A,8.1,,
806237,,,,,
806339,,,,,
806403,,,,,
806454,Geen behoefte aan Geen interesse,No need for No interest,4.3,7.1,
806652,,,,,
806655,"Het delen van gegevens is niet zozeer het probleem voor mij, het is meer de technische kant ervan, werken met gegevens pakketjes en zo.","The data sharing isn't so much the issue for me, it's more the technical side of it, working with data packets and all that.",3.1,,
806683,,,,,
806689,,,,,
806699,Ik heb kanker zit midden in de chemokuren.,I have cancer and am in the middle of chemotherapy.,5.2,4.4,
806707,,,,,
806765,,,,,
806790,,,,,
806811,Het lukt niet,It doesn't work,3.4,,
806823,,,,,
806939,geen tijd,no time,3.3,,
807023,"ik wil niet meedoen, omdat ik het te veel moeite vind mijn bewegingen te registreren. Er zit nl. geen vast patroon in.",I don't want to participate because I find it too much trouble to record my movements. There's no set pattern.,3.3,4.1,
807061,,,,,
807165,er zijn geen redenen,there are no reasons,8.1,,
807186,geen intresse in,not interested in,7.1,,
807379,"Ik doe al mee aan Lisspanel, meer hoeft niet van mij. ik kan niet inschatten of het positief is voor de wetenschap en wat er mee wordt gedaan. Onzekerheid doet de keuze kantelen naar nee.",I'm already participating in the Lisspanel; I don't need more. I can't gauge whether it's positive for science or what will be done with it. Uncertainty tilts my decision to no.,3.3,7.2,6.5
807382,,,,,
807403,Ik gebruik de smartphone daarvoor te weinig,I don't use my smartphone enough for that,4.1,,
807418,Heb genoeg te doen.,Have enough to do.,3.3,,
807454,,,,,
807527,Het gaat te veel tijd kosten,It will take too much time,3.3,,
807559,Het betreft een zakelijke telefoon.,This concerns a business telephone.,3.4,,
807568,wil niets op mijn telefoon hebben,don't want anything on my phone,1.1,,
807596,,,,,
807598,,,,,
807623,Privacy,Privacy,1.1,,
807702,.,.,,,
807742,niet nodig,not necessary,4.3,,
807810,,,,,
807849,prive,private,1.1,,
807891,Prive en gezondheid is een groot goed en dat gaat niet gedeeld worden middels telefoon met derden.,Privacy and health are a great asset and will not be shared with third parties via telephone.,1.1,2.1,
807974,,,,,
807977,PrivÃ© activiteiten deel ik niet.,I do not share private activities.,1.1,,
807983,ik heb daar geen vertrouwen in,I have no confidence in that,2.1,6.1,
808025,,,,,
808035,Te moeilijk,Too difficult,3.2,,
808071,,,,,
808128,,,,,
808215,Niet over nagedacht,Didn't think about it,8.1,,
808236,,,,,
808267,,,,,
808279,Ik heb n eigen privemailadres die ik wil gebruiken en niet degene die bekend is bij Liss,I have my own private email address that I want to use and not the one known to Liss,3.4,6.5,
808281,Te veel rompslomp,Too much hassle,3.3,,
808285,hou het liefst deze info voor mezelf,I prefer to keep this information to myself,1.1,,
808327,,,,,
808438,Heb ik geen behoefte aan,I have no need for,4.3,,
808502,Ik vertrouw Google niet .,I don't trust Google.,6.4,,
808551,Geen interesse,Not interested,7.1,,
808656,,,,,
808669,,,,,
808789,,,,,
808794,Het lijkt me een heel gedoe. Ik ben daar niet geschikt voor.,It seems like a lot of hassle. I'm not cut out for it.,3.3,,
808801,nog meer controle door anderen over wat ik wel/niet doe.,even more control by others over what I do/don't do.,1.1,,
808843,,,,,
808944,Geen interesse,Not interested,7.1,,
808969,ik vind het onderzoek te vaag,I think the research is too vague,4.2,,
808972,Nu met herstel van ziekte bezig,Now recovering from illness,5.2,,
809014,,,,,
809170,ivm privacy,regarding privacy,1.1,,
809286,De gegevens zijn privÃ©,The data is private,1.1,,
809291,Ik denk geen zinvolle bijdrage te kunnen leveren aan dit onderzoek gezien mijn leeftijd (80 jaar) en fysieke toestand.,I do not think I can make a meaningful contribution to this research given my age (80 years) and physical condition.,4.1,5.2,4.4
809292,,,,,
809481,Ik ben net geÃ¯ndiceerd met borstkanker en ook geopereerd een borstamputatie. Toen een flinke ontsteking kortom mijn lichamelijke gezondheid in prut op dit moment,"I've just been diagnosed with breast cancer and also had a mastectomy. Then a serious infection, in short, my physical health is in shambles at the moment.",5.2,,
809488,PrivÃ©,Private,1.1,,
809494,Geen interesse,Not interested,7.1,,
809523,Ondat ik nu niet mobiel ben.,Because I'm not mobile right now.,5.2,,
809542,geen zin,no point,7.1,,
809569,-,-,8.2,,
809579,Google blijft het mij moeilijk maken mijn privacy te bewaren. Dus hoe minder Google hoe beter.,"Google continues to make it difficult for me to protect my privacy. So the less Google, the better.",6.4,1.1,
809594,Het lijkt me veel gedoe allemaal,It all seems like a lot of hassle to me,3.3,,
809619,,,,,
809622,Teveel gedoe op dit moment druk met mantelzorg,"Too much hassle at the moment, busy with informal care",3.3,5.3,
809653,"Alles wat ik doe met mijn smartphone is grotendeels al bekend, dus meer hoeft men niet van mij te weten","Most of what I do with my smartphone is already known, so no one needs to know more about me",1.2,,
809775,ik vertrouw de dataverzamelaars niet,I don't trust the data collectors,6.4,,
809850,Dit gaat me voor nu even te ver.,This is going too far for me at the moment.,1.1,,
809855,"lle gezondheidsinfo staat uit in mijn gSM, ik wil niet dat Apple of een app mijn gegevens verkoopt. ik weet dat sommige apps dat verkopen buiten europa.",All health information is disabled on my phone. I don't want Apple or any app to sell my data. I know some apps sell it outside of Europe.,1.1,6.4,2.3
809875,Gaat wel erg ver,That's going too far,1.1,,
809897,ksnap hetniet,I don't get it,3.2,,
810006,wil ik niet,i don't want,7.1,,
810060,prive,private,1.1,,
810086,Privacy,Privacy,1.1,,
810202,,,,,
810208,Vind ik niet nodig,I don't think it's necessary,4.3,,
810217,Ik vind stappen tellen niet interessant,I don't find counting steps interesting,5.4,,
810267,ben op dit moment heel druk en heb geen tijd voor extra dingen,I am very busy at the moment and have no time for extra things,5.3,,
810283,,,,,
810305,"Gegevens betreffende mijn activiteiten worden door mij op strava bijgehouden (fietstochten, wandelen, walking football en de stappenteller op mijn horloge. Dat is voldoende.","I track my activities on Strava (cycling, hiking, walking football, and the pedometer on my watch). That's enough.",1.1,,
810358,Kost teveel tijd,Takes too much time,3.3,,
810487,"Ben daar niet in geÃ¯nteresseerd, ik wil niet via stappentellers mijn eventuele gezondheid gaan afmeten. Gezondheid is voor mij een ruimer begrip dan fysieke gezondheid, afgemeten in lichaamsbewegingen. Gezondheid gaat altijd over welzijn: mentale, lichamelijke en sociale leefstijl.","I'm not interested in that; I don't want to measure my potential health with pedometers. For me, health is a broader concept than just physical health, measured in body movements. Health is always about well-being: mental, physical, and social lifestyle.",4.3,4.2,5.4
810494,"Niet relevant, ik zit in een rolstoel.","Not relevant, I'm in a wheelchair.",5.2,4.4,
810598,Geen behoefte aan,No need for,4.3,,
810686,Te veel stappen doorlopen,Taking too many steps,3.3,,
810772,Even geen interesse,Not interested at the moment,7.1,,
810874,,,,,
811001,Hou ze liever voor mezelf al vraag ik me af of dit nog zo is,"I prefer to keep them to myself, although I wonder if that is still the case",1.1,1.2,
811005,Lijkt mij veel tijd te kosten,Seems to me that it would take a lot of time,3.3,,
811029,Ik hou dit liever voor mezelf.,I'd rather keep this to myself.,1.1,,
811039,de beloning is te laag,the reward is too low,6.3,,
811053,amper mobiel door gezondheidsproblemen. Draag mobiel niet direct op t lichaam,Barely mobile due to health problems. Don't wear your phone directly on your body.,5.2,4.1,
811109,,,,,
811172,,,,,
811187,"Ik ben er mee bezig geweest op mijn telefoon, maar ik vindt het te ingewikkeld, en ben eerlijk gezegd bang dat ik verkeerde dingen aanklik waardoor ik misschien in de problemen kan komen","I've been working on it on my phone, but I find it too complicated, and honestly I'm afraid I'll click on the wrong things that might get me into trouble",3.2,,
811199,Ik wil niet alles delen,I don't want to share everything,1.1,,
811233,Geen zin in,No sense in,4.3,7.1,
811261,Ik heb er geen vertrouwen in dat mijn privacy gewaarborgd wordt.,I have no confidence that my privacy will be guaranteed.,1.1,,
811291,.,.,8.2,,
811297,Volgens Eu richtlijnen valt het onder privacy.,According to EU guidelines it falls under privacy.,1.1,,
811299,Geen zin,No point,7.1,,
811334,,,,,
811373,ik ben op leeftijd en minder valide geraakt door een herseninfarct en loop dus nog maar weinig achter een rollator. Zou ik gezond zijn geweest dan had ik waarschijnlijk mee gedaan.,"I'm elderly and disabled due to a stroke, so I rarely use a walker anymore. If I'd been healthy, I probably would have participated.",5.2,4.1,4.4
811386,,,,,
811410,"Te prive, krijg het idee dat ik gecontroleerd word","Too private, I get the feeling I'm being monitored",1.1,,
811466,,,,,
811557,,,,,
811621,Ik zie dat niet zitten,I don't like that idea,7.1,,
811657,,,,,
811807,niet een specifieke reden. Het kost extra rijd,no specific reason. It costs extra driving,8.1,3.3,
811877,,,,,
812008,Privacy,Privacy,1.1,,
812017,geen,no,8.1,,
812063,,,,,
812167,Deze gegevens vind ik privÃ© en wil ze niet delen met onderzoekers.,I consider this information private and do not want to share it with researchers.,1.1,6.1,
812293,,,,,
812301,Ik ben momenteel in een revalidatietraject; ik zou jullie onderzoek teveel bias geven.,I'm currently in rehabilitation; I think I'd be giving your research too much bias.,5.2,4.1,
812374,Geen behoefte aan,No need for,4.3,,
812469,,,,,
812518,,,,,
812529,Ik weet niet hoe ik een pakketje met Google Locatie Geschiedenis moet aanvragen.,I don't know how to request a package with Google Location History.,3.2,,
812573,,,,,
812609,Niet relevant,Not relevant,4.3,,
812629,,,,,
812661,,,,,
812734,,,,,
812745,Te persoonlijk,Too personal,1.1,,
812896,,,,,
812901,Ik deel deze persoonlijke informatie liever niet,I prefer not to share this personal information,1.1,,
813002,"na 65 jaar heel gezond te zijn geweest ben ik in [datum] geconfronteerd met: ik moet een nieuwe hartklep. dit is een open hart operatie dus daarom ook rustig aan doen. niet fietsen, niet tillen, niet stofzuigen etc. daarnaast ook een darm onderzoek gehad en daar is darmkanker geconstateerd. heeft niets met die hartklep te maken, maar ook hiermee z.s.m. aan de slag. dus nu eerst bestralingen en evt Chemo. daarna die hartklep. als ik hiervan op krachten ben gekomen nog een operatie en een stoma. Dus mijn leven staat dit jaar in het teken van beter worden.","After 65 years of excellent health, I was confronted on [date] with the fact that I need a new heart valve. This is open-heart surgery, so I'm taking it easy. No cycling, no lifting, no vacuuming, etc. I also had a bowel examination and was diagnosed with colon cancer. This has nothing to do with the heart valve, but I need to get to work on that as soon as possible. So, first radiation and possibly chemotherapy. Then the heart valve. Once I've recovered from this, I'll have another operation and a stoma. So, my life this year is all about getting better.",5.2,4.4,
813061,Ik kan er geen tijd voor vrijmaken.,I can't make time for it.,3.3,,
813110,geen interresse,no interest,7.1,,
813138,Privacy. Mijn gegeven zijn eigen en hoeft niet op straat te liggen of dat je wordt gebeld door bedrijven.,Privacy. My data is my own and doesn't need to be out in the open or for companies to call you.,1.1,2.3,
813150,,,,,
813201,ik denk dat ik dan ongevraagd veel appjes krijg of mailtjes,I think I will then receive a lot of unsolicited messages or emails,5.1,,
813224,geen tijd/zin,no time/inclination,3.3,7.1,
813277,ik wil ze niet delen.,I don't want to share them.,7.1,,
813283,Geen behoefte aan,No need for,4.3,,
813367,is te privÃ©,is too private,1.1,,
813369,Privacy,Privacy,1.1,,
813403,ik heb in het verleden al een keer meegedaan,I have participated once in the past,7.1,,
813468,privacy,privacy,1.1,,
813485,,,,,
813491,PrivÃ© houden,Keep private,1.1,,
813546,weet niet,don't know,8.1,,
813576,,,,,
813678,te omslachtig,too complicated,3.2,,
813709,Ik heb hierin geen interesse,I am not interested in this,7.1,,
813717,gebruik ik nooit,I never use,4.1,,
813776,ik vind dit niet relevant,I don't find this relevant,4.3,,
813821,,,,,
813861,Ik gebruik mijn mobiel niet op werk,I don't use my cell phone at work,4.1,,
813870,ik wil het gewoon niet.,I just don't want it.,7.1,,
813949,Geen behoefte aan,No need for,4.3,,
813968,Geen tijd en belangstelling,No time and interest,3.3,7.1,
814026,geen interesse,no interest,7.1,,
814047,,,,,
814093,Privacy,Privacy,1.1,,
814298,,,,,
814331,,,,,
814344,"Mijn iPhone ligt vaak op tafel en beweegt niet met me mee. Dus zelfs op dagen waar ik heel actief ben, kan het zijn dat er geen gemeten stappen zijn. En dan vraag ik me af, wat de zin van het delen van gegevens is, die eigenlijk weinig zeggen over mijn daadwerkelijke beweging.","My iPhone often sits on the table and doesn't move with me. So even on days when I'm very active, it might not track any steps. And then I wonder what's the point of sharing data that says little about my actual movement.",4.1,,
814347,,,,,
814364,,,,,
814367,,,,,
814389,met beperkingen geen,with no restrictions,8.2,,
814446,Geen zin in.,I don't feel like it.,7.1,,
814489,,,,,
814505,Ik heb geen gezondheids app van apple op mijn iphone. Slaat apple dan toch mijn stappen op?,I don't have an Apple Health app on my iPhone. Does Apple still track my steps?,4.1,,
814533,Ik heb er eerlijk gezegd geen behoefte aan,I honestly don't feel the need for it,4.3,,
814567,allemaal te omslachtig,all too complicated,3.2,,
814724,ik heb al veel aan mijn hoofd en wil niet dat er nog meer taken bijkomen.,I already have a lot on my mind and don't want to add any more tasks.,5.3,,
814841,Omdat ik nu met een schouder blessure zit is mijn lopen minimaal en daarom ook niet zoals het normaal is,"Because I now have a shoulder injury, my walking is minimal and therefore not as it normally is",5.2,4.1,
814852,,,,,
814868,,,,,
814944,Alles wat met gezondheid te maken heeft is privÃ©,Everything related to health is private,1.1,,
814956,,,,,
814981,,,,,
814996,Men weet al veel te veel van me,People already know far too much about me,1.2,,
815066,geen zin in,no desire to,7.1,,
815125,,,,,
815175,,,,,
815205,te lage vergoeding voor het gedoe.,too low a compensation for the hassle.,6.3,,
815219,probeer zo min mogelijk te delen,try to share as little as possible,1.1,,
815222,Weinig tijd,Little time,3.3,,
815246,,,,,
815272,,,,,
815368,Deze app.is allang verwijderd van mijn iPhone ik gebruikte hem niet vanwege privacy.,This app has long been deleted from my iPhone as I wasn't using it for privacy reasons.,4.1,,
815444,,,,,
815463,Mijn mobiliteit is nihil. Een reden om niet mee te doen,My mobility is minimal. A reason not to participate,4.1,,
815484,geen interesse,no interest,7.1,,
815533,Er worden al zoveel gegevens opgeslagen en gedeeld dat ik liever niet mee doe.,So much data is already being stored and shared that I'd rather not participate.,1.2,,
815544,,,,,
815624,Aan alles waaraan ik meewerk zit een maximum.,There is a limit to everything I participate in.,3.3,,
815639,PrivÄ—,Private—,1.1,,
815690,het bijhouden van gegevens vraag tijd en aandacht die ik er niet aan wil besteden,Keeping track of data takes time and attention that I don't want to spend on it,3.3,,
815695,Heb er geen zin in,I don't feel like it,7.1,,
815718,,,,,
815804,aankomende vakantie en de gegevens zijn dan niet relevant.,upcoming holiday and the data is then not relevant.,4.4,5.3,
815823,Ik wil ze liever voor me zelf houden. je hoort te vaak dat data â€˜ verkochtâ€™ worden.,I'd rather keep them for myself. You hear too often that data is 'sold.',2.3,,
815861,Wens niet gevolgd te worden,Do not wish to be followed,1.1,,
815921,Gaat mij te ver Nu kan ik moeilijk erop uit omdat ik gevallen ben. Normaal ga ik 3 x per week sporten mag nu ff niet van de fysio dus zit veel thuis. Krijg je ook geen rieel beeld,"It's going too far for me. Now I can hardly go out because I fell. I normally work out three times a week, but the physiotherapist won't let me at the moment, so I'm home a lot. You don't get a real picture either.",1.1,4.1,
816003,hou het liever prive,rather keep it private,1.1,,
816133,X,X,8.2,,
816143,,,,,
816186,ik heb mijn mobiel niet altijd op mijn lichaam en dan zijn de gegevens onjuist,I don't always have my mobile phone on my body and then the data is incorrect,4.1,,
816256,"Ik vind het gecompliceerd en blijf gereserveerd in het delen van alle gegevens in deze digitale wereld, waarin het regelmatig ook mis gaat (fraude, hacken ed)","I find it complicated and I remain reserved about sharing all data in this digital world, where things often go wrong (fraud, hacking, etc.)",3.2,2.1,2.3
816262,Wordt allemaal toch te ingewikkeld ben ik bang voor. Ook ben ik bang voor een soort â€œdwangneuroseâ€ met getalletjes.,"I'm afraid it'll all get too complicated. I'm also afraid of developing some kind of ""obsession"" with numbers.",3.2,5.1,
816311,,,,,
816317,te ingewikkeld voor een 80-jarige.,too complicated for an 80-year-old.,3.3,,
816387,als je je telefoon niet bij je hebt zal het niets registreren dan zal de uitkomst ook niet juist zijn.,If you don't have your phone with you it won't register anything and the outcome will not be correct.,4.1,,
816470,Ik was al op weg en kom dan bij: 'Je gegevens downloaden' . En dat weet ik niet wÃ¨lke gegevens er worden gedownload. Dat is voor mij onduidelijk. Dus: dan maar helemaal niet.,"I was already on my way, and then I got to: ""Download your data."" And I don't know what data is being downloaded. It's unclear to me. So: just don't download it at all.",6.2,,
816592,Weet ik niet,I don't know,8.1,,
816595,"ik heb de komende tijd , het te druk, ben in een grote verbouwing bezig!","I'm too busy at the moment, I'm working on a major renovation!",5.3,,
816606,Telefoon niet bij de hand,Phone not at hand,3.4,,
816613,Ik gebruik mijn (prepaid)telefoon om te bellen in noodgeval. Voor de rest krijg ik af en toe een berichtje van wat vriendinnen en stuur ik een berichtje terug. Dus dat ding ligt meer op de kast dan dat ik hem gebruik. Dat gedoe met stappenteller en internet gebruik ik ook niet.,"I use my (prepaid) phone for emergency calls. Otherwise, I occasionally get a message from a few friends and text them back. So, it sits in the cupboard more often than I use it. I also don't use all that pedometer and internet stuff.",4.1,,
816627,Geen zin in en tijd voor,No time or desire for it,3.3,7.1,
816641,,,,,
816665,ik heb het geprobeerd te downloaden maar kreeg er geen goed gevoel bij. Ik voelde mij onbeschermd,I tried to download it but I didn't get a good feeling about it. I felt unprotected.,2.1,,
816717,,,,,
816751,,,,,
816757,Geen commentaar,No comment,8.1,,
816836,,,,,
816904,,,,,
816949,ik zit nu op iemand anders zijn computer dus kan nu niet verder,I'm now on someone else's computer so I can't go any further,3.4,,
816952,Het lijkt me te veel â€œgedoeâ€,"It seems like too much ""hassle"" to me",3.3,,
816968,geen,no,8.1,,
816970,,,,,
817004,,,,,
817022,Geen zin in.,I don't feel like it.,7.1,,
817074,n.v.t.,n.v.t.,8.1,,
817160,,,,,
817404,de komende tijd veel op reis in het buitenland,traveling abroad a lot in the coming period,5.3,4.1,
817418,,,,,
817483,,,,,
817532,,,,,
817550,Ik maak te weinig meters ivm partiÃ«le dwarsleasie,I don't run enough meters because of partial spinal cord injury,4.1,,
817651,ik heb er geen zin in; te veel gedoe.,I don't feel like it; too much hassle.,7.1,3.3,
817663,"omdat het buiten familie of mensen die ik zelf kies, geen klap aangaat",because it doesn't affect anyone outside of family or people I choose myself,1.1,,
817797,,,,,
817818,privicy risico,privacy risk,1.1,,
817852,,,,,
817879,,,,,
817880,,,,,
818026,"Ik vind het niet fijn om dit soort gevoelige privÃ©gegevens te delen, met wie dan ook.",I don't feel comfortable sharing this kind of sensitive private information with anyone.,1.1,,
818032,"privÃ©, en ga niet altijd met smartphone naar buiten en werken.","private, and don't always go out and work with your smartphone.",1.1,4.1,
818112,Geen idee,No idea,8.1,,
818191,omdat ik het lastig vind en vergeet,because I find it difficult and forget,3.3,,
818204,Deels de investering en deels tegenzin.,Part investment and part reluctance.,7.1,3.3,
818228,Geen interesse in .,Not interested in .,7.1,,
818259,Geen zin om dat op te vragen.,No point in asking that.,7.1,,
818270,Privacy,Privacy,1.1,,
818276,,,,,
818448,,,,,
818478,,,,,
818505,Zie niet zo zitten,I don't really like it,7.1,,
818511,vorige keer mislukt,failed last time,3.1,6.5,
818530,Geen interesse,Not interested,7.1,,
818533,,,,,
818670,Door oudere telefoon niet mogelijk.,Not possible due to older telephone.,3.4,,
818676,,,,,
818748,Geen vertrouwen erin dat deze informatie op een goede manier verwerkt wordt,No confidence that this information will be processed properly,2.1,,
818771,,,,,
818774,Ik wil niet dat mijn gegevens overal verspreid worden en het vertrouwen hierin is er niet. Bovendien heb ik een smartwatch en deze registreert alles al voor mij. Dit is mogelijk ook een alternatief voor jullie.,"I don't want my data to be spread everywhere, and there's no trust in it. Besides, I have a smartwatch, and it already records everything for me. This might be an alternative for you too.",1.1,2.1,3.4
818897,,,,,
818920,,,,,
818981,Geen zin in,No sense in,7.1,,
819047,,,,,
819114,geen behoefte aan,no need for,4.3,,
819137,,,,,
819160,heb geen bezwaar tegen het delen van gegevens in het algemeen maar in dit gevalwil ik niet de benodigde tijd daaraan besteden.,"I don't object to sharing data in general, but in this case I don't want to spend the necessary time on it.",3.3,,
819226,niet doen,don't do,8.2,,
